Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Analyst_Count
Monster Beverage,MNST,64.36,68.17,0.059198259788688645,38
"Netflix, Inc.",NFLX,1206.21,1250.45,0.036676863896004885,236
Nvidia,NVDA,174.98,190.78,0.09029603383243812,235
NXP Semiconductors,NXPI,223.93,252.5,0.12758451301746088,76
O'Reilly Automotive,ORLY,102.87,1580.0,14.359191212209584,22
Old Dominion Freight Line,ODFL,149.75,178.0,0.18864774624373948,47
Onsemi,ON,48.81,60.0,0.22925629993853702,87
Paccar,PCAR,97.54,111.33,0.14137789624769326,34
Palantir Technologies,PLTR,156.18,150.0,-0.03956972723780261,66
Palo Alto Networks,PANW,183.32,254.0,0.3855553131136811,146
Paychex,PAYX,138.41,154.8,0.11841629940033238,31
PayPal,PYPL,67.55,76.67,0.13501110288675067,161
PDD Holdings,PDD,122.96,121.0,-0.015940143135979135,38
PepsiCo,PEP,148.98,153.67,0.031480735669217275,51
Qualcomm,QCOM,154.13,185.0,0.20028547330175828,70
Regeneron Pharmaceuticals,REGN,598.16,679.0,0.13514778654540605,79
Roper Technologies,ROP,526.94,645.0,0.22404827874141264,17
Ross Stores,ROST,145.62,146.67,0.007210548001647998,62
Shopify,SHOP,136.68,130.0,-0.04887328065554586,104
Starbucks,SBUX,88.56,107.5,0.21386630532971984,99
Synopsys,SNPS,598.17,545.0,-0.08888777437852113,34
T-Mobile US,TMUS,258.16,266.4,0.031918190269599966,57
Take-Two Interactive,TTWO,227.87,258.0,0.13222451397726775,55
"Tesla, Inc.",TSLA,320.11,363.08,0.13423510668207794,214
Texas Instruments,TXN,200.71,194.0,-0.0334313188181955,78
Thomson Reuters,TRI,176.09,182.0,0.03356238287239477,16
Trade Desk (The),TTD,52.3,98.33,0.8801147227533461,59
Verisk Analytics,VRSK,271.91,315.0,0.15847155308741856,20
Vertex Pharmaceuticals,VRTX,397.46,482.44,0.21380767876012685,58
Warner Bros. Discovery,WBD,11.585,12.5,0.07898144151920583,34
"Workday, Inc.",WDAY,227.58,267.0,0.1732138149222251,97
Xcel Energy,XEL,73.16,76.33,0.04332968835429196,21
