Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y
Booking Holdings,BKNG,5584.08,10970.897631554026,0.9646741507202664,0.28113533694762777,0.33300369052950746
Broadcom,AVGO,294.91,200.74116630105115,-0.3193138031906306,0.5181193033748428,0.4084372510738592
Cadence Design Systems,CDNS,346.88,196.3123546569245,-0.434062630716892,0.29122232595200565,0.35638501392801764
CDW Corporation,CDW,167.58,139.00403361189353,-0.170521341377888,0.11959665661008906,0.2812302124042031
Charter Communications,CHTR,267.01,441.9743979244552,0.6552728284500777,-0.10245285938958103,0.357509891429531
Cintas,CTAS,216.43,118.67502017012286,-0.4516701928100408,0.2252456234348193,0.23694874723616166
Cisco,CSCO,66.76,64.25900505508812,-0.0374624767062894,0.11946784473639432,0.22749033455513626
Coca-Cola Europacific Partners,CCEP,90.4,,,0.19582900061744776,0.2549254756425799
Cognizant,CTSH,70.865,110.90126492320076,0.5649652850236475,0.04179435994640145,0.25744103197753593
Comcast,CMCSA,33.89,,,-0.020730335548904265,0.2616272543649316
Constellation Energy,CEG,317.24,,,0.6855347914402711,0.4954976794362156
Copart,CPRT,47.81,36.64627137367082,-0.2335019583001293,0.16184992056571057,0.26057216066529204
CoStar Group,CSGP,88.95,52.00757242667869,-0.4153167799136741,0.06033797636780736,0.32734103854200336
Costco,COST,980.85,432.2170274030824,-0.559344418205554,0.2392440019536209,0.2261149003134879
CrowdStrike,CRWD,418.6,385.1648462398832,-0.0798737548019992,0.4034688616081079,0.5227627830472333
CSX Corporation,CSX,36.52,33.33300851550504,-0.0872670176477261,0.10060335501153991,0.23527610817046013
Datadog,DDOG,128.99,151.21511244971268,0.1723010500791741,0.2387894136906448,0.5587901273348012
DexCom,DXCM,80.9,32.24505846650807,-0.6014207853336456,0.06486074222341284,0.47086614873303956
Diamondback Energy,FANG,138.96,,,0.3527016807635542,0.45995923904014974
DoorDash,DASH,248.37,103.16472454724428,-0.5846329083736188,0.22522370742390432,0.5866140482482105
Electronic Arts,EA,170.68,294.2426581781611,0.7239433921851481,0.06895998105831196,0.24992478922898126
Exelon,EXC,44.74,,,0.12592421502209653,0.2133323302153891
Fastenal,FAST,49.9,25.201828953557357,-0.494953327584021,0.17547396725349193,0.24194304791434018
Fortinet,FTNT,78.09,127.47324711889895,0.6323888733371619,0.31595140439983693,0.43245539124887006
GE HealthCare,GEHC,73.97,61.92023051567149,-0.1629007636113087,0.13158279385186716,0.32499913836977473
Gilead Sciences,GILD,117.98,247.99301004220945,1.1019919481455285,0.1451515766608724,0.23449378097956883
GlobalFoundries,GFS,33.22,16.636159359876064,-0.4992125418459944,0.033194122171662496,0.4987805006678334
Honeywell,HON,216.74,168.37180267232472,-0.2231623019639904,0.08607874475044129,0.21898429167834776
Idexx Laboratories,IDXX,636.71,162.04703964091502,-0.7454931764211101,0.1658825804327229,0.35402729852258313
Intel,INTC,25.31,-22.607032150941837,-1.893205537374233,-0.05049046553926698,0.43924955968857976
Intuit,INTU,700.939,630.9297520851682,-0.09987923045348,0.2084022062592865,0.3445418961469356
Intuitive Surgical,ISRG,479.2,117.4238948209496,-0.7549584832617913,0.20078426733236762,0.329850025684793
Keurig Dr Pepper,KDP,35.18,74.97849400070989,1.1312818078655456,0.05616593236197213,0.19171116124587034
KLA Corporation,KLAC,876.08,531.4374923575325,-0.3933915939668381,0.37905933930829966,0.42296933180788593
Kraft Heinz,KHC,27.67,,,-0.024470117190220176,0.22360938857151086
Lam Research,LRCX,100.33,57.14608410240748,-0.4304187770117863,0.30869887616264124,0.4469466248178763
Linde plc,LIN,479.92,304.34133922689364,-0.3658498515859025,0.1566540867690654,0.21730061376051782
Lululemon,LULU,197.66,557.7692049994067,1.8218618081524167,-0.046902352692039705,0.40340822288681244
Marriott International,MAR,266.78,295.7827849408448,0.1087142399761782,0.24656353298068887,0.3082934319218444
Marvell Technology,MRVL,72.07,29.09757540107156,-0.596259533771728,0.30496527585963723,0.5699120497075949
Mercado Libre,MELI,2342.94,1483.1615571899176,-0.3669656255858377,0.26125292113438064,0.5081193019977391
Meta Platforms,META,751.48,594.4050706174064,-0.20902077152099,0.3015666168201743,0.4399039629181997
Microchip Technology,MCHP,64.71,25.55414625359997,-0.6050974153361154,0.13692456392806157,0.43324735166981443
Micron Technology,MU,122.05,-24.76642488848746,-1.2029203186275088,0.3067576943854019,0.46602261799336453
Microsoft,MSFT,509.77,375.2530934412712,-0.2638776439545849,0.20854954155915817,0.26576579285299995
MicroStrategy,MSTR,336.57,-48.43449012032653,-1.1439061417248315,1.0854539503343852,0.9557714285159921
Mondelez International,MDLZ,62.66,136.1427601696129,1.1727219944081215,0.034842818976743656,0.18738507199836163
Monster Beverage,MNST,63.99,97.49201057961054,0.5235507201064311,0.11552013919675151,0.2400578185697311
"Netflix, Inc.",NFLX,1214.15,160.408823422418,-0.8678838500824297,0.28411913623640406,0.44143860967375437
Nvidia,NVDA,175.64,146.43501530013742,-0.1662775261891514,0.6659199853626367,0.5274421984324351
NXP Semiconductors,NXPI,229.27,221.51235322284808,-0.0338362924811441,0.20248864233315875,0.3983563347262891
O'Reilly Automotive,ORLY,103.06,161.52902978571362,0.5673299998613779,0.26909045443342094,0.22326371617379484
Old Dominion Freight Line,ODFL,154.8,96.68683468675998,-0.3754080446591733,0.14317156607463455,0.34637525210280645
Onsemi,ON,49.77,49.38051384651029,-0.0078257213881799,0.30335069378425994,0.5190364524896656
Paccar,PCAR,99.46,139.96476180536155,0.4072467505063499,0.13946282044507693,0.25852894341990784
Palantir Technologies,PLTR,157.75,3.9013816291195456,-0.9752685792131884,0.8297517429142247,0.7234395014598759
Palo Alto Networks,PANW,181.56,212.0039577688236,0.1676798731484006,0.3707499755943343,0.40924025675847975
Paychex,PAYX,139.01,154.67492377277375,0.1126891861936103,0.1490346691532277,0.229832258453797
PayPal,PYPL,69.05,110.8555015409491,0.6054381106582059,-0.12405787788591205,0.42412006405036595
PDD Holdings,PDD,119.07,,,0.32744957572637673,0.7279840879740572
PepsiCo,PEP,152.16,248.04432915857024,0.6301546343228854,0.03417111419799233,0.17829861889520493
Qualcomm,QCOM,156.25,222.7594322626282,0.4256603664808205,0.13333789536911506,0.3858273672011601
Regeneron Pharmaceuticals,REGN,571.78,,,0.04405539238014472,0.30031169284813125
Roper Technologies,ROP,532.59,590.4776864462622,0.1086909000286564,0.06703095670384834,0.20949090729506362
Ross Stores,ROST,147.88,171.95947867101336,0.1628312055113157,0.14966657834795,0.3157618568856029
Shopify,SHOP,139.25,15.324528947455711,-0.8899495228189895,0.27640683856212794,0.6555426335120094
Starbucks,SBUX,90.93,83.67200849307703,-0.0798195480800942,0.07353693067790289,0.310670268249297
Synopsys,SNPS,612.79,342.0119179137242,-0.4418774491853258,0.27071779017465647,0.3543987726585982
T-Mobile US,TMUS,258.22,-38.43371677191287,-1.148840975803241,0.19180302544131025,0.24030168364096421
Take-Two Interactive,TTWO,228.36,17.943451647213568,-0.9214247169065792,0.10953736051989633,0.325103782417777
"Tesla, Inc.",TSLA,329.31,54.34456737880275,-0.8349744393465041,0.37529478767750973,0.6308983263437261
Texas Instruments,TXN,195.94,83.81275712144384,-0.5722529492628159,0.1171238829168145,0.303591089909881
Thomson Reuters,TRI,174.96,104.4642753766047,-0.4029248092329407,0.17866221555532652,0.20490276903436083
Trade Desk (The),TTD,52.53,57.391528588768,0.0925476601707215,0.27023586192223176,0.6979295397642633
Verisk Analytics,VRSK,271.01,149.23796124226533,-0.4493267361268391,0.10262720285876002,0.22773341487509866
Vertex Pharmaceuticals,VRTX,390.76,613.1933649523746,0.5692326874612925,0.1250141282223777,0.3013193432072651
Warner Bros. Discovery,WBD,11.56,,,0.013370971768051453,0.5446972097409335
"Workday, Inc.",WDAY,229.79,201.61127780993152,-0.1226281482661059,0.10690702147419782,0.38174632790961305
Xcel Energy,XEL,73.22,,,0.02993582089753195,0.21043984652815248
