Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Analyst_Count,Annual_Return_5Y,Annual_Volatility_5Y
Paccar,PCAR,97.54,111.33,0.1413778962476932,34,0.14608374228670973,0.2589647709598887
Palantir Technologies,PLTR,156.18,150.0,-0.0395697272378026,66,0.831985846098489,0.7228751705020426
Palo Alto Networks,PANW,183.32,254.0,0.3855553131136811,146,0.37175469221104324,0.4089659079408316
Paychex,PAYX,138.41,154.8,0.1184162994003323,31,0.15159939788081658,0.2297784590091215
PayPal,PYPL,67.55,76.67,0.1350111028867506,161,-0.1184378416322965,0.4240892005565455
PDD Holdings,PDD,122.96,121.0,-0.0159401431359791,38,0.3421450722730907,0.7277773123108358
PepsiCo,PEP,148.98,153.67,0.0314807356692172,51,0.03267492928844205,0.17824454289964903
Qualcomm,QCOM,154.13,185.0,0.2002854733017582,70,0.13648792114862893,0.3856986773387702
Regeneron Pharmaceuticals,REGN,598.16,679.0,0.135147786545406,79,0.04350061498118137,0.3001919098715653
Roper Technologies,ROP,526.94,645.0,0.2240482787414126,17,0.06565183827900184,0.209797340995526
Ross Stores,ROST,145.62,146.67,0.0072105480016479,62,0.15067410547605486,0.31555564566289657
Shopify,SHOP,136.68,130.0,-0.0488732806555458,104,0.2830514012394698,0.6552531195666813
Starbucks,SBUX,88.56,107.5,0.2138663053297198,99,0.07088049204458395,0.3104626200633951
Synopsys,SNPS,598.17,545.0,-0.0888877743785211,34,0.2721006032838621,0.3541733469301744
T-Mobile US,TMUS,258.16,266.4,0.0319181902695999,57,0.1860082658609035,0.24037410230301015
Take-Two Interactive,TTWO,227.87,258.0,0.1322245139772677,55,0.10968249373315413,0.324855915450949
"Tesla, Inc.",TSLA,320.11,363.08,0.1342351066820779,214,0.3848299170934255,0.631008985371396
Texas Instruments,TXN,200.71,194.0,-0.0334313188181955,78,0.1222295373238405,0.30357603943119527
Thomson Reuters,TRI,176.09,182.0,0.0335623828723947,16,0.18154821509043192,0.20482611637168954
Trade Desk (The),TTD,52.3,98.33,0.8801147227533461,59,0.2723814227584838,0.6974145363208422
Verisk Analytics,VRSK,271.91,315.0,0.1584715530874185,20,0.10262179527148131,0.22756267787839607
Vertex Pharmaceuticals,VRTX,397.46,482.44,0.2138076787601268,58,0.12521116557629441,0.3011106590813174
Warner Bros. Discovery,WBD,11.585,12.5,0.0789814415192058,34,0.02218916945842109,0.5445557229565612
"Workday, Inc.",WDAY,227.58,267.0,0.1732138149222251,97,0.10124869572213235,0.3816503091728371
Xcel Energy,XEL,73.16,76.33,0.0433296883542919,21,0.03287976012247709,0.21037821326964676
